"MESSAGE_CODE";"ORIGINAL_TEXT";"TRANSLATED_TEXT"
"APEXIR_FILTER";"Filter";"Filter"
"APEXIR_FILTERS";"Filters";"Filtri"
"APEXIR_HELP_ACTIONS_MENU";"The actions menu is used to customize the display of your Interactive Report.";"Akcijski meni se uporablja za prilagajanje prikaza vašega interaktivnega poročila."
"APEXIR_HELP_CHART";"You can include one chart per Interactive Report. Once defined, you can switch between the chart and report views using links below the search bar.<p/><ul><li><b>Chart Type</b> identifies the chart type to include. Select from horizontal bar, vertical bar, pie or line.</li><li><b>Label</b> allows you to select the column to be used as the label.</li><li><b>Axis Title for Label</b> is the title that will display on the axis associated with the column selected for Label. This is not available for pie chart.</li><li><b>Value</b> allows you to select the column to be used as the value. If your function is a COUNT, a Value does not need to be selected.</li><li><b>Axis Title for Value</b> is the title that will display on the axis associated with the column selected for Value. This is not available for pie chart.</li><li><b>Function</b> is an optional function to be performed on the column selected for Value.</li></ul>";"V interaktivno poročilo lahko vključite en graf. Ko je graf definiran, lahko preklapljate med grafom in poročilom, tako da uporabite povezave pod iskalno vrstico. 
<p/> 
<ul><li><b>Tip grafa</b> določa tip grafa, ki ga vključujete. Izberite med horizontalnimi stolpci, vertikalnimi stolpci, pito ali linijami</li> 
<li><b>Oznaka</b> omogoča izbiro stolpca, ki bo uporabljen kot Oznaka.</li> 
<li><b>Naziv osi za Oznako</b> je naslov, ki bo prikazan na osi povezani s stolpcem izbranim za Oznako. Pri tipu grafa pita, ta nastavitev ni možna.</li> 
<li><b>Vrednost</b> omogoča izbiro stolpca, ki se uporablja za Vrednost. Če je vaša funkcija COUNT, potem ni potrebno da izberete vrednost.</li> 
<li><b>Naziv osi za Vrednost</b> je naslov, ki bo prikazan na osi povezani s stolpcem izbranim za Vrednost. Pri tipu grafa pita, ta nastavitev ni možna.</li> 
<li><b>Funkcija</b> je opcijska funkcija, ki se lahko uporabi na stolpcu izbranim za Vrednost.</li></ul>"
"APEXIR_HELP_COMPUTE";"Computations allow you to add computed columns to your report. These can be mathematical computations (e.g. NBR_HOURS/24) or standard Oracle functions applied to existing columns (some have been displayed for example, others, like TO_DATE, can also be used).<p/><ul><li><b>Computation</b> allows you to select a previously defined computation to edit.</li><li><b>Column Heading</b> is the column heading for the new column.</li><li><b>Format Mask</b> is an Oracle format mask to be applied against the column (e.g. S9999).</li><li><b>Format Mask</b> is an Oracle format mask to be applied against the column (e.g. S9999).</li><li><b>Computation</b> is the computation to be performed. Within the computation, columns are referenced using the aliases displayed.</li></ul><p/>Below computation, the columns in your query are displayed with their associated alias. Clicking on the column name or alias will write them into the Computation. Next to Columns is a Keypad. These are simply shortcuts of commonly used keys. On the far right are Functions.<p/>An example computation to display Total Compensation is:<p/><pre>CASE WHEN A = ''sales'' THEN B + C ELSE B END</pre>(where A is ORGANIZATION, B is SALARY and C is COMMISSION)";"Izračuni omogočajo dodajanje izračunljivih stolpcev. Izračun je lahko matematičen (npr. NBR_HOURS/24) ali standardna Oracle funkcija, ki se jo aplicira na obstoječe stolpce (npr. TO_DATE) 
<p/> 
<ul><li><b>Izračun</b> omogoča urejanje predhodno definiranih izračunov.</li> 
<li><b>Naslov stolpca</b> je naslov novega stolpca.</li> 
<li><b>Oblika maske</b> je Oracle oblika maske, ki se jo določi za stolpec (npr. S9999).</li> 
<li><b>Izračun</b> je izračun, ki se bo naredil. Znotraj izračuna se stolpci naslavljajo po psevdonimu, ki se uporablja za prikaz.</li> 
</ul> 
<p/> 
Pod izračunom se nahaja seznam stolpcev, ki so prikazani z njihovimi psevdonimi. Pritisk na ime stolpca, bo prenesel stolpec v izračun. Poleg izračuna se nahaja tipkovnica. To so bližnjice do pogosto uporabljenih tipk. Na skrajni desni se nahajajo funkcije. 
<p/> 
Primer izračuna za prikaz skupne kompenzacije: 
<p/> 
<pre>CASE WHEN A = 'SALES' THEN B + C ELSE B END</pre> 
(kjer je A ORGANIZACIJA, B PLAČA in C PROVIZIJA)"
"APEXIR_HELP_FLASHBACK";"Performs a flashback query to allow you to view the data as it existed at a previous point in time. The default amount of time that you can flashback is 3 hours (or 180 minutes) but the actual amount will differ per database.";"Poizvedba v preteklost (Flashback Query) omogoča vpogled v podatke, kot so obstajali v določeni točki v preteklosti. Privzeta nastavitev je 3 ure, dejanska nastavitev pa je odvisna od vsake posamezne baze."
"APEXIR_SELECT_SORT_COLUMN";"- Select Sort Column -";"- Izberite stolpec za razvrščanje -"
"APEXIR_SELECT_VALUE";"Select Value";"Izberi vrednost"
"APEXIR_TIME_WEEKS";"weeks";"tedni"
"APEXIR_UP";"Up";"Gor"
"APEXIR_VALUE_REQUIRED";"Value Required";"Obvezna vrednost"
"APEXIR_WORKING_REPORT";"Working Report";"Delovno poročilo"
"INVALID_CREDENTIALS";"Invalid Login Credentials";"Napačno uporabniško ime ali geslo."
"REPORT";"Report";"Poročilo"
"SINCE_DAYS_FROM_NOW";"%0 days from now";"%0 dni od sedaj"
"SINCE_MINUTES_AGO";"%0 minutes ago";"%0 minut nazaj"
"SINCE_YEARS_FROM_NOW";"%0 years from now";"čez %0 let"
"WWV_FLOW_UTILITIES.CLOSE";"Close";"Zapri"
"WWV_RENDER_REPORT3.FOUND_BUT_NOT_DISPLAYED";"Minimum row requested: %0, rows found but not displayed: %1";"Zahtevana minimalna vrstica: %0, najdene a ne prikazene vrstice: %1"
"WWV_RENDER_REPORT3.X_Y_OF_Z";"row(s)%0 - %1 of %2";"vrstica/e %0 - %1 od %2"
"WWV_RENDER_REPORT3.X_Y_OF_Z_2";"%0 - %1 of %2";"%0 - %1 od %2"
"APEXIR_EDIT";"Edit";"Uredi"
"APEXIR_HELP_ROWS_PER_PAGE";"Sets the number of records to display per page.";"Nastavi število zapisov za prikaz na strani."
"APEXIR_HELP_SEARCH_BAR_ACTIONS_MENU";"<li><b>Actions Menu</b> enables you to customize a report. See the sections that follow.</li>";"<li><b>Akcijski meni</b> omogoča prilagajanje poročila. Za podrobnosti poglejte spodnja navodila.</li>"
"APEXIR_HELP_SEARCH_BAR_FINDER";"<li><b>Select columns icon</b> enables you to identify which column to search (or all).</li>";"<li><b>Izbor ikone za stolpce</b> vam omogoča identifikacijo stolpec po katerih se išče (ali vseh).</li>"
"APEXIR_HELP_SUBSCRIPTION";"When you add a subscription, you provide an email address (or multiple email addresses, separated by commas), email subject, frequency, and start and end dates. The resulting emails include an HTML version of the interactive report containing the current data using the report setting that were present when the subscription was added.";"Ko naredite naročanje, določite e-poštni naslov (ali več, ki so ločeni z vejico), zadevo, frekvenco ter začetni in končni datum. E-pošta bo vsebovala HTML različico interaktivnega poročila s trenutni podatki in nastavitvami, ki so bile aktivne ob času ko se je naredilo naročanje."
"APEXIR_INVALID_END_DATE";"The end date must be greater than the start date.";"Datum konca mora biti večji od datum začetka."
"APEXIR_INVALID_FILTER_QUERY";"Invalid filter query";"Neveljavna poizvedba za filter"
"APEXIR_LABEL_PREFIX";"Label Prefix";"Predpona oznake"
"APEXIR_PIVOT_MAX_ROW_CNT";"The maximum row count for a Pivot query limits the number of rows in the base query, not the number of rows displayed. Your base query exceeds the maximum row count of %0. Please apply a filter to reduce the number of records in your base query.";"Največje število vrstic za vrtilno poizvedbo omejuje število vrstic v osnovi poizvedbi in ne število vrstic, ki so prikazane. Vaša osnovna poizvedba presega največje dovoljeno število vrstic (%0) za prikaz. Prosimo prilagoditev pogoje iskanja in s tem zmanjšajte število zapisov v osnovi poizvedbi."
"APEXIR_REMOVE_PIVOT";"Remove Pivot";"Odstrani pivot"
"APEXIR_ROW_COLUMN_NOT_NULL";"Row column must be specified.";"Vrstica stolpca mora biti določena."
"APEXIR_SELECT_GROUP_BY_COLUMN";"- Select Group By Column -";"- Izberite stolpec za grupacijo -"
"APEXIR_SORT_ORDER";"Sort Order";"Zaporedje razvrščanja"
"APEXIR_HELP_SAVE_REPORT";"Saves the customized report for future use. You provide a name and an optional description.";"Shrani prirejeno poročilo tudi za prihodnjo uporabo. Navedete ime in po želji tudi opis. Poročilo se lahko naredi, da je vidno tudi javno (vsi uporabniki, ki lahko dostopajo do osnovne oblike poročila). Shranite lahko štiri tipe interaktivnih poročil: 
Primarno privzeto (samo razvijalec). Primarno privzeto poročilo je poročilo, ki se prikaže prvotno. Primarna privzeta poročila se ne morejo preimenovati ali brisati. 
Alternativno poročilo (samo razvijalec). Omogoča razvijalcu kreiranje večih oblik poročila. Samo razvijalec lahko shrani, preimenuje oz. briše alternativna poročila. 
Javno poročilo (končni uporabnik). Končni uporabnik lahko shrani, spremeni oz. briše poročilo, če ga je sam naredil. Ostali končni uporabniki lahko poročilo gledajo ali shranijo poročilo pod drugim imenom. 
Privatno poročilo (končni uporabnik). Samo uporabnik, ki je poročilo kreiral, lahko poročilo vidi, shrani, preimenuje oz. briše.  
Če shranite prirejena poročila, potem se vam v iskalni vrstici prikaže seznam vseh shranjenih poročil (če je ta možnost seveda omogočena)."
"APEXIR_NEXT_WEEK";"Next Week";"Naslednji teden"
"APEXIR_PRIVATE";"Private";"Zasebno"
"APEXIR_PUBLIC";"Public";"Javno"
"APEXIR_RED";"red";"rdeče"
"APEXIR_REMOVE";"Remove";"Odstrani"
"APEXIR_HIDE_COLUMN";"Hide Column";"Skrij stolpec"
"APEXIR_MAX_ROW_CNT";"This query returns more then %0 rows, please filter your data to ensure complete results.";"Poizvedba vrne več kot %0 vrstic, prosim prilagodite pogoje iskanje, da bi zagotovili prikaz vseh podatkov."
"APEXIR_MONTH";"Month";"Mesec"
"APEXIR_NAME";"Name";"Ime"
"APEXIR_NEXT_DAY";"Next Day";"Naslednji dan"
"APEXIR_SAVE_DEFAULT_CONFIRM";"The current report settings will be used as the default for all users.";"Trenutne nastavitve poročila so uporabljene privzeto za vse uporabnike."
"APEXIR_SEARCH_BAR";"Search Bar";"Iskalna vrstica"
"APEX.DATEPICKER_VALUE_NOT_BETWEEN_MIN_MAX";"#LABEL# is not between the valid range of %0 and %1.";"#LABEL# ni med vrednostjo od %0 do %1."
"APEXIR_AGG_MAX";"Maximum";"Maksimum"
"APEXIR_AGG_MODE";"Mode";"Način"
"APEXIR_AGGREGATE";"Aggregate";"Agregiraj"
"APEXIR_ALL_COLUMNS";"All Columns";"Vsi stolpci"
"APEXIR_ALTERNATIVE_DEFAULT_NAME";"Alternative Default: %0";"Privzeta Alternativa: %0"
"APEXIR_COMPARISON_ISNOT_IN_NEXT";"is not in the next";"ni vsebovano v naslednjem"
"APEXIR_COMPARISON_NOT_LIKE";"not like";"ni kot (not like)"
"APEXIR_COMPARISON_REGEXP_LIKE";"matches regular expression";"se ujame z regularnim izrazom"
"APEXIR_COMPUTATION_FOOTER_E2";"INITCAP(B)||'', ''||INITCAP(C)";"INITCAP(B)||', '||INITCAP(C)"
"APEXIR_CONTROL_BREAK";"Control Break";"Prelom"
"APEXIR_DO_NOT_DISPLAY";"Do Not Display";"Ne prikaži"
"APEXIR_EDIT_GROUP_BY";"Edit Group By";"Uredi grupacijo"
"APEXIR_EMAIL_CC";"Cc";"Kp"
"APEXIR_ENABLED";"Enabled";"Omogočeno"
"APEXIR_EXAMPLES";"Examples";"Primeri"
"APEXIR_EXCLUDE_NULL";"Exclude Null Values";"Izloči prazne vrednosti"
"APEXIR_FILTER_EXPRESSION";"Filter Expression";"Filter izraz"
"APEXIR_FILTER_TYPE";"Filter Type";"Tip filtra"
"APEXIR_FORMAT_MASK";"Format";"Oblika maske"
"APEXIR_HELP_01";"An Interactive Report displays a predetermined set of columns. The report may be further customized with an initial filter clause, a default sort order, control breaks, highlighting, computations, aggregates and a chart. Each Interactive Report can then be further customized and the results can be viewed, or downloaded, and the report definition can be stored for later use. <p/> An Interactive Report can be customized in three ways: the search bar, actions menu and column heading menu.";"Interaktivno poročilo prikaže v naprej določeno množico stolpcev. Poročilo se lahko nadaljnje prilagodi z začetnim filtrom, privzetim razvrščanjem, prelomom, osvetljevanjem, izračunom, agregatom in grafom.  Vsako interaktivno poročilo se lahko še nadaljnje prilagaja. Rezultati se lahko pregledujejo, prenesejo k sebi, sama definicija pa se lahko shrani za kasnejšo uporabo. 
<p/> 
Interaktivno poročilo se lahko prilagaja v treh smereh: iskalna vrstica, akcijski meni in v meniju naslova stolpca."
"APEXIR_HELP_COLUMN_HEADING_MENU";"Clicking on any column heading exposes a column heading menu.<p/><ul><li><b>Sort Ascending icon</b> sorts the report by the column in ascending order.</li><li><b>Sort Descending icon</b> sorts the report by the column in descending order.</li><li><b>Hide Column</b> hides the column.</li><li><b>Break Column</b> creates a break group on the column. This pulls the column out of the report as a master record.</li><li><b>Column Information</b> displays help text about the column, if available.</li><li><b>Text Area</b> is used to enter case insensitive search criteria (no need for wild cards). Entering a value will reduce the list of values at the bottom of the menu. You can then select a value from the bottom and the selected value will be created as a filter using ''='' (e.g. column = ''ABC''). Alternatively, you can click the flashlight icon and the entered value will be created as a filter with the ''LIKE'' modifier (e.g. column LIKE ''%ABC%'').<li><b>List of Unique Values</b> contains the first 500 unique values that meet your filters. If the column is a date, a list of date ranges is displayed instead. If you select a value, a filter will be created using ''='' (e.g. column = ''ABC'').</li></ul>";"S pritiskom na katerikoli naslov stolpca se vam prikaže dodatni meni za ta stolpec. 
<p/> 
<ul><li><b>Ikona razvrsti naraščajoče</b> razvrsti poročilo v naraščajočem vrstnem redu tega stolpca.</li> 
<li><b>Ikona razvrsti padajoče</b> razvrsti poročilo v padajočem vrstnem redu tega stolpca.</li> 
<li><b>Skrij stolpec</b> skrije stolpec.</li> 
<li><b>Prelom stolpca</b> naredim prelom na tem stolpcu. S tem se stolpec umakne iz samega poročila kot glavni zapis.</li> 
<li><b>Informacija o stolpcu</b> pokaže dodatne informacije o stolpcu, če so na voljo.</li> 
<li><b>Tekstovno področje</b> se uporablja za vnos iskalnega kriterija, ki ni občutljiv na velike in male črke (tudi ni potrebno uporabljati nadomestnih znakov). Ob vnašanju vrednosti se hkrati zmanjšuje seznam vrednosti na dnu menija. Lahko izberete tudi vrednost iz spodnjega seznama. Izbrana vrednost bo naredila filter z uporabo '=' (npr. stolpec = 'ABC'). Namesto tega, lahko pritisnete na ikono baterijske svetilke, kar vam bo naredilo filter z uporabo 'LIKE' izraza (npr. stolpec LIKE '%ABC%').</li> 
<li><b>Seznam unikatnih vrednosti</b> vsebuje prvih 500 unikatnih vrednosti, ki ustrezajo vašim filtrom. Če je stolpec datumskega tipa, se prikaže lista vrednosti z datumskimi razredi. Če izberete vrednost, se naredi filter z uporabo operatorja '=' (npr. stolpect = 'ABC').</li></ul>"
"APEXIR_SEQUENCE";"Sequence";"Zaporedje"
"APEXIR_SORT_ASCENDING";"Sort Ascending";"Razvrsti naraščajoče"
"APEXIR_SORT_COLUMN";"Sort Column";"Stolpec razvrščanja"
"APEXIR_TIME_YEARS";"years";"leta"
"APEXIR_UNIQUE_COLUMN_HEADING";"Column Heading must be unique.";"Naziv stolpca mora biti unikaten."
"APEXIR_VIEW_CHART";"View Chart";"Poglej grafikon"
"APEXIR_VIEW_GROUP_BY";"View Group By";"Poglej grupacijo"
"APEXIR_X_MINS";"%0 minutes";"%0 minut"
"SINCE_SECONDS_AGO";"%0 seconds ago";"Pred %0 sekundami"
"APEX.REGION.JQM_LIST_VIEW.LOAD_MORE";"Load more";"Naloži več"
"APEX.REGION.JQM_LIST_VIEW.SEARCH";"Search";"Išči"
"APEXIR_INACTIVE_SETTING";"1 inactive setting";"1 neaktivna nastavitev"
"APEXIR_PIVOT_AGG_NOT_NULL";"Aggregate must be specified.";"Agregat mora biti določen."
"APEXIR_REMOVE_GROUP_BY";"Remove Group By";"Odstrani grupacijo"
"APEXIR_RPT_DISP_COL_EXCEED";"The number of display columns in the report reached the limit. Please click Select Columns under Actions menu to minimize the report display column list.";"Število prikazan stolpec v poročilu je doseglo limit. Prosim izberite Izberite Stolpce v akcijskem meniju, da tako zmanjšate število prikazanih stolpcev."
"APEXIR_NEXT_X_YEARS";"Next %0 Years";"Naslednje %0 let"
"APEXIR_NO_AGGREGATION_DEFINED";"No aggregation defined.";"Agregacije niso definirane."
"APEXIR_NULLS_ALWAYS_FIRST";"Nulls Always First";"Prazne vrednosti na začetku"
"APEXIR_NUMERIC_FLASHBACK_TIME";"Flashback time must be numeric.";"Čas vrnitve v preteklost mora biti numeričen."
"APEXIR_ORANGE";"orange";"oranžna"
"APEXIR_PERCENT_TOTAL_SUM";"Percent of Total Sum";"Odstotek od skupne vsote"
"APEXIR_PRIMARY";"Primary";"Primarno"
"APEXIR_REMOVE_FILTER";"Remove Filter";"Odstrani filter"
"APEXIR_RENAME_REPORT";"Rename Report";"Preimenuj poročilo"
"APEXIR_INVALID";"Invalid";"Napačen"
"APEXIR_IS_IN_THE_LAST";"%0 is in the last %1";"%0 je v zadnjem %1"
"APEXIR_IS_IN_THE_NEXT";"%0 is in the next %1";"%0 je v naslednjem %1"
"APEXIR_LAST_MONTH";"Last Month";"Prejšnji mesec"
"APEXIR_LAST_WEEK";"Last Week";"Zadnji teden"
"APEXIR_MONTHLY";"Monthly";"Mesečno"
"APEXIR_MORE_DATA";"More Data";"Več podatkov"
"APEXIR_ROW_ORDER";"Row Order";"Zaporedje vrstic"
"APEXIR_ROWS_PER_PAGE";"Rows Per Page";"Zapisov na stran"
"APEXIR_COLUMN";"Column";"Stolpec"
"APEX.NUMBER_FIELD.VALUE_INVALID";"#LABEL# must be Numeric.";"#LABEL# mora biti numerična."
"APEX.NUMBER_FIELD.VALUE_LESS_MIN_VALUE";"#LABEL# is less than specified minimum %0.";"#LABEL# je manjši od navedene najmanjše vrednosti %0."
"APEXIR_CLEAR";"clear";"počisti"
"APEXIR_COLUMNS";"Columns";"Stolpci"
"APEXIR_COMPARISON_DOESNOT_CONTAIN";"does not contain";"ne vsebuje"
"APEXIR_DAY";"Day";"Dan"
"APEXIR_DELETE";"Delete";"Briši"
"APEXIR_ENABLE_DISABLE_ALT";"Enable/Disable";"Omogoči/Onemogoči"
"APEXIR_FLASHBACK_DESCRIPTION";"A flashback query enables you to view the data as it existed at a previous point in time.";"Poizvedba v preteklost (Flashback Query) omogoča vpogled v podatke, kot so obstajali v določeni točki v preteklosti."
"APEXIR_FLASHBACK_ERROR_MSG";"Unable to perform flashback request";"Napaka pri izvedbi ukaza za vrnitev v preteklost (Flashback)."
"APEXIR_FUNCTIONS";"Functions";"Funkcije"
"APEXIR_HELP_FILTER";"Used to add or modify the where clause on the query. You first select a column (it does not need to be one that is displayed), select from a list of standard Oracle operators (=, !=, not in, between), and enter an expression to compare against. The expression is case sensitive and you can use % as a wildcard (for example, STATE_NAME like A%).";"Se uporablja za dodajanje in spreminjaje pogojev (where clause) v poizvedbi. Naprej izberete stolpec (ni potrebno da je tudi prikazan), izberete iz liste standardnih Oracle operatorjev (=, !=, not in, between), in vnesete izraz za primerjanje. Izraz je občutljiv na velike in male črke, pri tem pa lahko uporabljate tudi nadomestni znak ( npr. NAZIV like 'A%')."
